Season,Name,Team,PA,HR,RBI,AVG,SLG,NameASCII,PlayerId,MLBAMID
2017,"J.D. Martinez","- - -",489,45,104,0.30324074,0.689814814,"J.D. Martinez",6184,502110
2022,"Aaron Judge","NYY",696,62,131,0.310526315,0.685964912,"Aaron Judge",15640,592450
2019,"Christian Yelich","MIL",580,44,97,0.329243353,0.670756646,"Christian Yelich",11477,592885
2016,"Gary Sánchez","NYY",229,20,42,0.298507462,0.656716417,"Gary Sanchez",11442,596142
2019,"Yordan Alvarez","HOU",369,27,78,0.313099041,0.654952076,"Yordan Alvarez",19556,670541
2023,"Shohei Ohtani","LAA",599,44,95,0.303822937,0.653923541,"Shohei Ohtani",19755,660271
2017,"Matt Olson","OAK",216,24,45,0.259259259,0.65079365,"Matt Olson",14344,621566
2015,"Bryce Harper","WSN",654,42,99,0.330134357,0.648752399,"Bryce Harper",11579,547180
2021,"Byron Buxton","MIN",254,19,32,0.306382978,0.64680851,"Byron Buxton",14161,621439
2019,"Mike Trout","LAA",600,45,104,0.291489361,0.644680851,"Mike Trout",10155,545361
2018,"Mookie Betts","BOS",614,32,80,0.346153846,0.640384615,"Mookie Betts",13611,605141
2020,"Freddie Freeman","ATL",262,13,53,0.341121495,0.640186915,"Freddie Freeman",5361,518692
2019,"Nelson Cruz","MIN",521,41,108,0.310572687,0.638766519,"Nelson Cruz",2434,443558
2020,"Marcell Ozuna","ATL",267,18,56,0.337719298,0.635964912,"Marcell Ozuna",10324,542303
2017,"Giancarlo Stanton","MIA",692,59,132,0.281407035,0.631490787,"Giancarlo Stanton",4949,519317
2019,"Mitch Garver","MIN",359,31,67,0.273311897,0.63022508,"Mitch Garver",15161,641598
2022,"Mike Trout","LAA",499,40,80,0.283105022,0.630136986,"Mike Trout",10155,545361
2017,"Mike Trout","LAA",507,33,72,0.305970149,0.629353233,"Mike Trout",10155,545361
2018,"J.D. Martinez","BOS",649,43,130,0.330404217,0.629173989,"J.D. Martinez",6184,502110
2019,"Cody Bellinger","LAD",660,47,115,0.304659498,0.629032258,"Cody Bellinger",15998,641355
2018,"Mike Trout","LAA",608,39,79,0.31210191,0.628450106,"Mike Trout",10155,545361
2017,"Aaron Judge","NYY",678,52,114,0.284132841,0.627306273,"Aaron Judge",15640,592450
2023,"Corey Seager","TEX",536,33,96,0.327044025,0.622641509,"Corey Seager",13624,608369
2016,"David Ortiz","BOS",626,38,127,0.314711359,0.620111731,"David Ortiz",745,120074
2017,"Rhys Hoskins","PHI",212,18,48,0.258823529,0.617647058,"Rhys Hoskins",16472,656555
2020,"José Abreu","CHW",262,19,60,0.316666666,0.616666666,"Jose Abreu",15676,547989
2021,"Bryce Harper","PHI",599,35,84,0.309426229,0.614754098,"Bryce Harper",11579,547180
2023,"Aaron Judge","NYY",458,37,75,0.267029972,0.613079019,"Aaron Judge",15640,592450
2022,"Yordan Alvarez","HOU",561,37,97,0.306382978,0.612765957,"Yordan Alvarez",19556,670541
2021,"Fernando Tatis Jr.","SDP",546,42,97,0.282426778,0.610878661,"Fernando Tatis Jr.",19709,665487
2020,"Luke Voit","NYY",234,22,52,0.276995305,0.610328638,"Luke Voit",14811,572228
2020,"José Ramírez","CLE",254,17,46,0.292237442,0.607305936,"Jose Ramirez",13510,608070
2020,"Wil Myers","SDP",218,15,40,0.287878787,0.606060606,"Wil Myers",10047,571976
2015,"Giancarlo Stanton","MIA",318,27,67,0.265232974,0.605734767,"Giancarlo Stanton",4949,519317
2023,"Matt Olson","ATL",720,54,139,0.282894736,0.603618421,"Matt Olson",14344,621566
2020,"Mike Trout","LAA",241,17,46,0.281407035,0.603015075,"Mike Trout",10155,545361
2021,"Vladimir Guerrero Jr.","TOR",698,48,111,0.311258278,0.600993377,"Vladimir Guerrero Jr.",19611,665489
2017,"Charlie Blackmon","COL",725,37,104,0.330745341,0.600931677,"Charlie Blackmon",7859,453568
2019,"Anthony Rendon","WSN",646,34,126,0.319266055,0.598165137,"Anthony Rendon",12861,543685
2018,"Christian Yelich","MIL",651,36,110,0.325783972,0.597560975,"Christian Yelich",11477,592885
2019,"Joey Gallo","TEX",297,22,49,0.253112033,0.597510373,"Joey Gallo",14128,608336
2021,"Brandon Belt","SFG",381,29,59,0.273846153,0.596923076,"Brandon Belt",10264,474832
2021,"Ronald Acuña Jr.","ATL",360,24,52,0.282828282,0.595959595,"Ronald Acuna Jr.",18401,660670
2023,"Ronald Acuña Jr.","ATL",735,41,106,0.337480559,0.595645412,"Ronald Acuna Jr.",18401,660670
2017,"Bryce Harper","WSN",492,29,87,0.319047619,0.595238095,"Bryce Harper",11579,547180
2016,"Daniel Murphy","WSN",582,25,104,0.346516007,0.595103578,"Daniel Murphy",4316,502517
2020,"Nelson Cruz","MIN",214,16,33,0.302702702,0.594594594,"Nelson Cruz",2434,443558
2019,"Ketel Marte","ARI",628,32,92,0.328646748,0.592267135,"Ketel Marte",13613,606466
2021,"Shohei Ohtani","LAA",639,46,100,0.25698324,0.59217877,"Shohei Ohtani",19755,660271
2019,"Alex Bregman","HOU",690,41,112,0.29602888,0.592057761,"Alex Bregman",17678,608324
2021,"Frank Schwindel","- - -",259,14,43,0.32644628,0.59090909,"Frank Schwindel",15351,643524
2019,"George Springer","HOU",556,39,96,0.292275574,0.590814196,"George Springer",12856,543807
2019,"Fernando Tatis Jr.","SDP",372,22,53,0.317365269,0.589820359,"Fernando Tatis Jr.",19709,665487
2020,"DJ LeMahieu","NYY",216,10,27,0.364102564,0.589743589,"DJ LeMahieu",9874,518934
2015,"Mike Trout","LAA",682,41,90,0.299130434,0.589565217,"Mike Trout",10155,545361
2020,"Trea Turner","WSN",259,12,41,0.334763948,0.587982832,"Trea Turner",16252,607208
2017,"Freddie Freeman","ATL",514,28,71,0.306818181,0.586363636,"Freddie Freeman",5361,518692
